EV of rolling D dice with P points
P \ D	1	2	3	4	5	6
9400	-6242	-4128	-2531	-1350	-528	163
9450	-6275	-4150	-2545	-1357	-532	162
9500	-6308	-4172	-2559	-1365	-535	161
9550	-6342	-4194	-2573	-1373	-539	160
9600	-6375	-4217	-2587	-1381	-543	159
9650	-6408	-4239	-2601	-1389	-547	157
9700	-6442	-4261	-2615	-1397	-551	156
9750	-6475	-4283	-2628	-1405	-555	155
9800	-6508	-4306	-2642	-1412	-559	154
9850	-6542	-4328	-2656	-1420	-562	153
9900	-6575	-4350	-2670	-1428	-566	152
9950	-6608	-4372	-2684	-1436	-570	150
10000	-6642	-4394	-2698	-1444	-574	149

Highest score at which it's still worth rolling D dice:
1: 0
2: 100
3: 250
4: 800
5: 2550
6: 10000

final cache size was 1101 items, we hit it 22119534 times
